label,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28,joint_29,joint_30,joint_31,joint_32,joint_33,joint_34,joint_35,joint_36,joint_37,joint_38,joint_39,joint_40,joint_41,joint_42,joint_43,joint_44,joint_45,joint_46,joint_47,joint_48,joint_49,joint_50
not-fall,0.00025304116666666665,0.0003801039814814815,0,0.00025821517708333336,0.00036511150925925927,0,0.0002486576458333333,0.00036031394444444443,0,0.00026497984375,0.00035930435185185187,0,0.00023858517708333333,0.0003473304166666667,0,0.00027855390625,0.00041160939814814814,0,0.00022074961979166665,0.0004046270648148148,0,0.00028460283333333334,0.0004993812314814815,0,0.00020904838541666666,0.0004980491296296297,0,0.00026924324479166666,0.0005245945,0,0.00022237508854166667,0.0005152993518518519,0,0.0002665304166666667,0.0005592395833333334,0,0.000227519296875,0.0005564610185185185,0,0.00026707260416666665,0.0005612667592592592,0,0.000215841953125,0.0005598076481481482,0,0.0002426390625,0.0007388137037037038,0,0.00020819727083333335,0.0007284898425925926,0
not-fall,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.00031153885416666663,0.00017987081481481482,0,0.0,0.0,0,0.00030504791666666664,0.00024586444444444445,0,0.00033169758333333334,0.00024014642592592593,0,0.00029114619791666666,0.00033160431481481483,0,0.0003489446510416667,0.00032220568518518517,0,0.00028266549479166666,0.0004062847962962963,0,0.00036610494791666667,0.00037739335185185186,0,0.00031221192708333334,0.0004078735925925926,0,0.00032842674479166664,0.00040556244444444445,0,0.00031189757291666664,0.0005370225925925926,0,0.0003277559375,0.0005348401481481482,0,0.000317780859375,0.0006731073611111111,0,0.0003297180572916667,0.0006619500370370371,0
not-fall,0.000316550625,0.00035376085185185186,0,0.0003282548958333333,0.0003068726851851852,0,0.00030513796875,0.000305828037037037,0,0.00034792913541666667,0.00029024354629629626,0,0.00028868658854166665,0.00028764370370370373,0,0.00038366510416666666,0.00046136912037037035,0,0.00025569627604166666,0.00047622657407407403,0,0.00041419734375,0.0007310068148148148,0,0.00022825973958333332,0.0007636327407407408,0,0.00039009178645833337,0.0008140262592592593,0,0.00025906125,0.00077657,0,0.00036787508854166666,0.0008834197592592593,0,0.0002817614947916667,0.0008941865740740741,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
not-fall,0.00031101502083333337,0.00024986071296296294,0,0.0003337279895833333,0.00021983219444444445,0,0.00030844090624999995,0.00019781962037037037,0,0.00037851968750000003,0.0002325825,0,0.0,0.0,0,0.00041657260416666666,0.00036501444444444445,0,0.0002797225,0.00035563400925925923,0,0.0004373400520833333,0.0006746762037037037,0,0.000256939140625,0.0006472849074074074,0,0.00034962138020833334,0.0007549282407407407,0,0.00030556859375,0.0004363122407407407,0,0.00041575518750000003,0.000811958611111111,0,0.0003140631458333333,0.000801207037037037,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
not-fall,0.00016716864583333336,0.0002410287962962963,0,0.00017351005208333334,0.00021075848148148147,0,0.00015523424479166667,0.00021364669444444445,0,0.0,0.0,0,0.00013284934895833333,0.0002092553796296296,0,0.00019659360937499998,0.0002782258703703704,0,0.00010293804166666667,0.00033133924074074076,0,0.00024511716145833335,0.0002799577777777778,0,9.349864062499999e-05,0.0005027450925925925,0,0.0003124809375,0.0002811419444444444,0,0.00016539366666666665,0.0005694256851851852,0,0.00019664312500000002,0.0005856036111111111,0,0.000131875,0.0006264517592592593,0,0.00026607401041666665,0.0005848676851851852,0,0.00016353766666666667,0.0006434076851851852,0,0.000212756234375,0.0007959826851851852,0,0.00011201960416666666,0.000849832962962963,0
not-fall,0.0002635601927083333,0.00023004652777777778,0,0.00027208110937499997,0.0002070565925925926,0,0.00025422647395833333,0.00021086289814814814,0,0.00028698165104166666,0.00021637226851851853,0,0.00024304775000000002,0.00022514467592592592,0,0.00031406661458333333,0.00033255892592592593,0,0.00022668630208333334,0.00034275662037037036,0,0.00032745208333333334,0.0004710538518518519,0,0.00022213243229166668,0.00047682153703703707,0,0.0,0.0,0,0.0002433890625,0.0005166614814814815,0,0.000308023828125,0.0005851992592592592,0,0.000248901875,0.0005893442592592594,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
not-fall,0.0001710007447916667,0.00019294225000000001,0,0.0001787073125,0.0001643938611111111,0,0.00016103598958333332,0.00017073537037037037,0,0.00019119693750000003,0.00017077127777777778,0,0.00014970960937500002,0.00018850798148148149,0,0.00021406033333333334,0.0002956079907407407,0,0.00013210067708333334,0.00030630492592592597,0,0.00022362607291666667,0.0005021515277777778,0,0.00011716807291666666,0.0004716889166666667,0,0.00019773564583333334,0.000574839537037037,0,0.0001510568125,0.00042339714814814815,0,0.00019383256770833332,0.0005509980555555556,0,0.00014511273958333333,0.0005517241666666667,0,0.00016648316145833334,0.0005312484722222223,0,0.0001351471875,0.0005416687037037037,0,0.0001487475,0.0007587838888888889,0,0.00016137328125000002,0.0007746028148148149,0
not-fall,0.00027469640625,0.0002844319259259259,0,0.0002834786458333333,0.00025211092592592594,0,0.00027198661458333333,0.0002571522407407408,0,0.0003119346666666667,0.00025528562037037037,0,0.0,0.0,0,0.0003529937291666667,0.0004078304351851852,0,0.00028860283333333333,0.0003829152777777778,0,0.00034937476562500004,0.0006186743055555556,0,0.00026301348958333333,0.0005434569907407407,0,0.00027560583333333333,0.0006042095370370371,0,0.00024369979166666666,0.0005659909259259259,0,0.0003013307291666667,0.0006936485555555556,0,0.00026299557291666666,0.0006550155833333334,0,0.0002187152395833333,0.0005777969999999999,0,0.00019983052083333332,0.0005398937962962963,0,0.00015280329166666664,0.0008138266666666667,0,0.00017012383854166666,0.0007967592962962963,0
not-fall,9.394371354166668e-05,0.00020659247222222223,0,9.342588541666667e-05,0.00019326346296296294,0,8.385890104166666e-05,0.0001964503425925926,0,0.0,0.0,0,6.109473958333333e-05,0.00022693198148148147,0,0.00010023071875000001,0.00031665235185185186,0,5.1677265625e-05,0.0003334914074074074,0,0.0001345993020833333,0.0003944581296296296,0,0.00010369564583333333,0.00042700737037037036,0,0.000161266125,0.0003472262037037037,0,0.00014807532291666667,0.00035641124074074076,0,0.000101459546875,0.0006068602222222223,0,6.145338020833333e-05,0.0006181269444444445,0,0.00012172973437499999,0.0008292275,0,5.3175661458333336e-05,0.0008527471296296297,0,0.0,0.0,0,0.0,0.0,0
not-fall,0.000176151328125,0.0003653043148148148,0,0.000175758203125,0.00035511605555555554,0,0.00017093479166666668,0.0003567298148148148,0,0.0,0.0,0,0.00015577028125,0.00036368025,0,0.00016959703125,0.0004174836851851852,0,0.00015538120833333331,0.00043179183333333333,0,0.00018326394791666665,0.00048565657407407403,0,0.00015647430208333334,0.0005253368518518518,0,0.00019228281249999998,0.000545566888888889,0,0.00016749900000000002,0.0005832449722222222,0,0.00018199288020833335,0.0005679162037037037,0,0.00017114833333333333,0.0005761260833333333,0,0.00018755677083333335,0.0006717643518518518,0,0.00016968546874999998,0.0006800485185185185,0,0.00017781752604166667,0.0007570644444444444,0,0.000142790796875,0.0007592869444444444,0
